 cbit,qbit,      c,  gate,   t1,  t1_spam, match

# TRIPLE
 t1_2,  69,  2.021,    10h, 209,  0.00285, under by 2.0182
 t1_3,  65,  2.298,    10h, 227,   0.0097, under by 2.2883
 t1_5,  59,  2.176,    10h, 107,   0.0233, under by 2.1527
 t1_8,  29, -0.129,  1000x, 144,  0.25385, OVER  by 0.3829
t1_14, 120,  0.024,   100x, 111,  0.03795, OVER  by 0.0139
t1_18, 103, -0.235,    10x, 244,   0.0228, OVER  by 0.2578
t1_23,  86,  0.319, 1000id, 164,   0.3419, OVER  by 0.0229
t1_24,  82,  0.647, 1000id, 134,   0.3255, under by 0.3215
t1_29,  44, -0.288,  100id, 248,  0.01855, OVER  by 0.3066
t1_32,  31,  0.319,   10id, 179,  -0.0097, under by 0.3287
t1_33,  27, -0.041,   10id, 150,   0.0585, OVER  by 0.0995
t1_34,  23, -0.033,   10id, 159,  0.01815, OVER  by 0.0512
t1_36,   4,  0.161,   10id, 153,  0.03975, under by 0.1212

# DOUBLE
 t1_4,  62,  2.869,    10h, 128,   0.0304, under by 2.8386
 t1_6,  57,  2.221,    10h, 177, -0.00035, under by 2.2214
 t1_7,  33,   0.03,  1000x,  45,   1.0786, OVER  by 1.0486
 t1_9,  26,  0.139,  1000x, 219,  0.11775, under by 0.0213
t1_10,  22,  0.127,  1000x,  70,   0.5631, OVER  by 0.4361
t1_11,  20,  0.307,  1000x, 172,  0.25515, under by 0.0519
t1_12, 128, -0.227,   100x, 184,   0.0079, OVER  by 0.2349
t1_13, 123, -0.036,   100x,  91,   0.4004, OVER  by 0.4364
t1_17, 106,  0.281,    10x, 135,  0.03855, under by 0.2425
t1_19, 100,  0.014,    10x,  26,  0.19965, OVER  by 0.1856
t1_20,  98, -0.031,    10x,  70,  0.04015, OVER  by 0.0711
t1_21,  95, -0.065,    10x, 281, -0.00385, OVER  by 0.0612
t1_22,  90,  0.261, 1000id, 222,   0.1636, under by 0.0974
t1_25,  79,  2.299, 1000id,  56,   0.7078, under by 1.5912
t1_26,  76,  0.111, 1000id, 203,   0.1912, OVER  by 0.0802
t1_27,  52, -0.178,  100id, 190,   0.0059, OVER  by 0.1839
t1_28,  47,  0.075,  100id, 192,   0.0434, under by 0.0316
t1_30,  41,  0.031,  100id,  39,   0.1724, OVER  by 0.1414
t1_31,  38,  0.153,  100id, 208,   0.0392, under by 0.1138
t1_37,   0,  0.112,   10id,  49,   0.0278, under by 0.0842

# SINGLE
t1_15, 130,  0.329,   100x, 249,   0.0234, under by 0.3056
t1_16, 129,  0.283,   100x, 225,   0.0305, under by 0.2525
t1_35,  14, -0.004,   10id, 205,   0.0131, OVER  by 0.0171